,Index,Score
0,0,255.0
1,1,213.0
2,2,219.0
3,3,244.0
4,4,215.0
5,5,214.0
6,6,213.0
7,7,218.0
8,8,217.0
9,9,213.0
10,10,213.0
11,11,214.0
12,12,213.0
13,13,213.0
14,14,219.0
15,15,213.0
16,16,223.0
17,17,219.0
18,18,213.0
19,19,213.0
20,20,221.0
21,21,213.0
22,22,213.0
23,23,213.0
24,24,213.0
25,25,213.0
26,26,213.0
27,27,213.0
28,28,213.0
29,29,226.0
30,30,213.0
31,31,242.0
32,32,231.0
33,33,232.0
34,34,238.0
69,69,229.0
111,111,210.0
113,113,209.0
176,176,255.0
179,179,255.0
185,185,254.0
186,186,203.0
193,193,217.0
201,201,207.0
202,202,209.0
205,205,206.0
206,206,202.0
208,208,209.0
217,217,211.0
230,230,192.0
236,236,214.0
238,238,255.0
240,240,212.0
242,242,255.0
249,249,209.0
251,251,204.0
257,257,216.0
262,262,209.0
263,263,210.0
264,264,206.0
265,265,205.0
266,266,206.0
272,272,210.0
292,292,219.0
296,296,220.0
297,297,222.0
304,304,207.0
306,306,213.0
307,307,204.0
310,310,204.0
312,312,209.0
313,313,212.0
324,324,207.0
332,332,212.0
339,339,208.0
341,341,206.0
347,347,211.0
352,352,210.0
358,358,209.0
360,360,216.0
363,363,208.0
364,364,221.0
366,366,212.0
375,375,217.0
376,376,212.0
377,377,217.0
378,378,217.0
379,379,216.0
380,380,201.0
392,392,203.0
401,401,208.0
406,406,205.0
411,411,207.0
414,414,207.0
417,417,209.0
418,418,206.0
419,419,212.0
424,424,203.0
426,426,203.0
428,428,207.0
429,429,207.0
430,430,204.0
432,432,204.0
439,439,206.0
441,441,202.0
443,443,207.0
444,444,205.0
453,453,204.0
455,455,207.0
456,456,200.0
457,457,206.0
458,458,208.0
460,460,207.0
462,462,211.0
463,463,205.0
465,465,211.0
470,470,197.0
474,474,197.0
475,475,157.0
481,481,203.0
482,482,205.0
484,484,206.0
485,485,201.0
486,486,212.0
489,489,201.0
490,490,197.0
491,491,201.0
492,492,202.0
493,493,202.0
497,497,216.0
498,498,218.0
501,501,207.0
506,506,199.0
508,508,206.0
509,509,204.0
510,510,200.0
511,511,208.0
512,512,208.0
514,514,217.0
518,518,215.0
519,519,214.0
521,521,200.0
522,522,202.0
524,524,208.0
525,525,210.0
526,526,202.0
527,527,209.0
530,530,208.0
532,532,209.0
533,533,208.0
534,534,203.0
536,536,205.0
539,539,209.0
541,541,203.0
542,542,199.0
544,544,202.0
547,547,209.0
548,548,204.0
550,550,198.0
552,552,204.0
553,553,198.0
554,554,206.0
555,555,205.0
558,558,202.0
560,560,205.0
561,561,209.0
564,564,214.0
569,569,214.0
578,578,207.0
580,580,216.0
581,581,203.0
583,583,218.0
585,585,215.0
586,586,210.0
587,587,212.0
588,588,209.0
590,590,204.0
592,592,210.0
594,594,203.0
596,596,206.0
598,598,236.0
601,601,197.0
602,602,200.0
603,603,202.0
604,604,208.0
605,605,207.0
606,606,200.0
607,607,204.0
608,608,208.0
609,609,202.0
610,610,202.0
613,613,206.0
614,614,199.0
615,615,206.0
616,616,206.0
619,619,215.0
621,621,201.0
622,622,210.0
624,624,218.0
627,627,210.0
630,630,201.0
634,634,239.0
638,638,209.0
644,644,208.0
652,652,201.0
654,654,210.0
658,658,213.0
659,659,213.0
660,660,220.0
661,661,207.0
662,662,213.0
664,664,215.0
665,665,209.0
666,666,224.0
668,668,220.0
669,669,213.0
673,673,207.0
676,676,210.0
678,678,206.0
679,679,206.0
680,680,200.0
682,682,201.0
683,683,202.0
685,685,211.0
686,686,207.0
687,687,203.0
690,690,216.0
693,693,207.0
695,695,227.0
696,696,232.0
697,697,203.0
699,699,204.0
701,701,213.0
703,703,208.0
708,708,202.0
716,716,209.0
725,725,207.0
726,726,206.0
727,727,208.0
729,729,199.0
735,735,196.0
748,748,213.0
751,751,204.0
757,757,201.0
760,760,205.0
762,762,192.0
763,763,201.0
765,765,200.0
766,766,200.0
767,767,197.0
769,769,214.0
770,770,212.0
772,772,191.0
777,777,213.0
778,778,210.0
781,781,203.0
791,791,219.0
799,799,219.0
804,804,222.0
805,805,215.0
813,813,221.0
815,815,212.0
819,819,218.0
828,828,220.0
833,833,218.0
837,837,219.0
839,839,241.0
845,845,218.0
850,850,223.0
859,859,226.0
862,862,218.0
867,867,216.0
872,872,220.0
873,873,218.0
874,874,219.0
877,877,219.0
882,882,219.0
883,883,218.0
887,887,219.0
889,889,216.0
890,890,216.0
897,897,211.0
902,902,215.0
904,904,221.0
908,908,231.0
911,911,225.0
912,912,210.0
913,913,217.0
914,914,217.0
915,915,223.0
916,916,213.0
919,919,214.0
922,922,218.0
924,924,218.0
932,932,219.0
933,933,216.0
934,934,218.0
938,938,226.0
943,943,204.0
944,944,203.0
950,950,227.0
951,951,229.0
952,952,224.0
954,954,207.0
956,956,211.0
958,958,213.0
959,959,204.0
961,961,236.0
965,965,240.0
966,966,185.0
968,968,237.0
970,970,201.0
972,972,185.0
973,973,202.0
976,976,194.0
980,980,215.0
981,981,218.0
982,982,219.0
983,983,220.0
984,984,218.0
985,985,218.0
986,986,211.0
989,989,128.0
991,991,229.0
993,993,217.0
996,996,216.0
997,997,217.0
998,998,220.0
1001,1001,219.0
1003,1003,217.0
1006,1006,220.0
1007,1007,219.0
1008,1008,186.0
1010,1010,221.0
1015,1015,207.0
1018,1018,208.0
1019,1019,205.0
1020,1020,208.0
1022,1022,205.0
1024,1024,219.0
1025,1025,216.0
1026,1026,208.0
1027,1027,249.0
1030,1030,238.0
1038,1038,220.0
1039,1039,218.0
1040,1040,218.0
1042,1042,218.0
1044,1044,221.0
1045,1045,218.0
1046,1046,220.0
1050,1050,217.0
1052,1052,203.0
1053,1053,205.0
1056,1056,209.0
1058,1058,211.0
1059,1059,207.0
1061,1061,208.0
1062,1062,206.0
1063,1063,210.0
1065,1065,210.0
1066,1066,210.0
1067,1067,206.0
1068,1068,204.0
1069,1069,207.0
1070,1070,214.0
1073,1073,211.0
1074,1074,218.0
1076,1076,220.0
1078,1078,209.0
1079,1079,213.0
1080,1080,216.0
1081,1081,215.0
1082,1082,217.0
1083,1083,215.0
1089,1089,219.0
1091,1091,214.0
1093,1093,214.0
1094,1094,222.0
1095,1095,213.0
1097,1097,219.0
1098,1098,217.0
1099,1099,219.0
1100,1100,225.0
1102,1102,227.0
1103,1103,226.0
1104,1104,208.0
1105,1105,220.0
1106,1106,216.0
1107,1107,219.0
1110,1110,216.0
1111,1111,215.0
1113,1113,218.0
1114,1114,216.0
1116,1116,225.0
1117,1117,217.0
1119,1119,218.0
1120,1120,219.0
1121,1121,221.0
1122,1122,211.0
1123,1123,218.0
1129,1129,216.0
1130,1130,219.0
1131,1131,218.0
1133,1133,219.0
1134,1134,206.0
1135,1135,214.0
1136,1136,217.0
1137,1137,216.0
1138,1138,208.0
1139,1139,220.0
1140,1140,211.0
1141,1141,181.0
1143,1143,218.0
1144,1144,208.0
1145,1145,208.0
1146,1146,209.0
1147,1147,209.0
1148,1148,207.0
1149,1149,207.0
1150,1150,215.0
1151,1151,212.0
1155,1155,192.0
1156,1156,232.0
1157,1157,241.0
1160,1160,223.0
1162,1162,220.0
1163,1163,215.0
1164,1164,193.0
1166,1166,216.0
1171,1171,238.0
1174,1174,238.0
1175,1175,238.0
1178,1178,237.0
1179,1179,238.0
1180,1180,241.0
1181,1181,238.0
1182,1182,238.0
1183,1183,238.0
1184,1184,238.0
1185,1185,226.0
1186,1186,238.0
1187,1187,238.0
1188,1188,238.0
1189,1189,238.0
1190,1190,234.0
1191,1191,238.0
1192,1192,211.0
1193,1193,204.0
1195,1195,226.0
1196,1196,222.0
1197,1197,238.0
1198,1198,140.0
1199,1199,146.0
1200,1200,135.0
1201,1201,238.0
1202,1202,160.0
1203,1203,213.0
1204,1204,238.0
1205,1205,159.0
1206,1206,202.0
1207,1207,137.0
1208,1208,238.0
1209,1209,146.0
1210,1210,188.0
1211,1211,170.0
1212,1212,176.0
1213,1213,144.0
1214,1214,238.0
1215,1215,185.0
1216,1216,173.0
1217,1217,194.0
1218,1218,140.0
1219,1219,186.0
1220,1220,151.0
1221,1221,160.0
